Fecha,NO2,T21
2024-01-01,9.296427639293436e-06,323.20001220703125
2024-02-01,1.0086890479874765e-05,318.3548816539234
2024-03-01,9.379380180809288e-06,326.0838911268446
2024-04-01,1.3827584220935008e-05,327.2292343819211
2024-05-01,1.240055120417795e-05,330.6366064623258
2024-06-01,1.4779632470532754e-05,324.7363623416785
2024-07-01,1.1280048706191873e-05,322.23333740234375
2024-08-01,1.2095537047671921e-05,317.7240051269531
2024-09-01,9.666092018740221e-06,319.0699920654297
2024-12-01,1.014230503783969e-05,309.16998291015625
